Ecosystem;Tidal.R;Genus;Specie;lat;long;S.type;Biomass;Bio SE;Bio SD;Bio n;Stock;Stock SE;Stock SD;Stock n;Flux;Flux SE;Flux SD;years;Flux 100
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;0.059904;;;;;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;0.015836;;;;;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;0.03224;;;;;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;0.03885;;;;;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;0.01825;;;;;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;0.040582;;;;;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;0.02952;;;;;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;0.139426;;;;;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;0.0256;;;;;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;0.380137;;;;;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;0.724296;;;;;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;0.208184;;;;;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;0.119426;;;;;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;0.12586;;;;;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;0.0817;;;;;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;0.164749;;;;;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;0.07752;;;;;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;0.06204;;;;;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;0.0255102;;;;;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;0.048508;;;;;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;0.0328;;;;;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;22.4;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;24.6;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;20.3;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;27.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;32.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;67.3;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;34.4;;;;0.093;;;Last decades;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;47;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;36.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;2.35;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;4.15;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;37;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;26.6;;;;0.034;;;Last decades;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;47.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;38.1;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;20.6;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;52.2;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;15.1;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;35.7;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;25.8;;;;0.079;;;Last decades;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;10.8;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;15.3;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;15.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;13;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;20.3;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;25.2;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;14.5;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;30.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;2.67;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;13.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;17.6;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;33.8;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;19.3;;;;0.167;;;Last decades;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;25.1;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;20.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;20.6;;;;0.164;;;Last decades;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;25.8;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;17.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;19.7;;;;0.195;;;Last decades;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;33.1;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;34.3;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;21.7;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;22.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;24;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;23.8;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;14.8;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;21.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;13.8;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;16.8;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;18.4;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;16.2;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;11.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;15.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;14.2;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;14.1;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;20;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;22.3;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;3.9;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;4;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;4;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;5.39;;;;;;;;0.02
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;4.34;;;;;;;;0.0043
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;4.62;;;;;;;;0.0062
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;1.51;;;;;;;;0.0009
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;12.73;;;;;;;;0.0013
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;1.95;;;;;;;;0.0083
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;1.96;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;9.69;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;2.43;;;;;;;;0.0267
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;1.84;;;;;;;;0.023
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;4.1;;;;;;;;0.006
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;4.17;;;;;;;;0.0015
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;2.6;;;;;;;;0.002321688
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;4.24;;;;;;;;0.0058
Seagrass;;Halophila;Halophila stipulacea;;;Colonising;;;;;2.66;;;;;;;;0.0076
Seagrass;;Halophila;Halophila stipulacea;;;Colonising;;;;;2.94;;;;;;;;
Seagrass;;Halophila;Halophila stipulacea;;;Colonising;;;;;2.42;;;;;;;;0.0037
Seagrass;;Halophila;Halophila stipulacea;;;Colonising;;;;;2.26;;;;;;;;0.004
Seagrass;;Halophila;Halophila stipulacea;;;Colonising;;;;;3.5;;;;;;;;0.0045
Seagrass;;Halophila;Halophila stipulacea;;;Colonising;;;;;3.09;;;;;;;;
Seagrass;;Halophila;Halophila stipulacea;;;Colonising;;;;;3.22;;;;;;;;0.0049
Seagrass;;Halophila;Halophila stipulacea;;;Colonising;;;;;3.93;;;;;;;;0.011
Seagrass;;Halophila;Halophila stipulacea;;;Colonising;;;;;3.66;;;;;;;;0.007
Seagrass;;Halodule;Halodule uninervis;;;Colonising;;;;;2.09;;;;;;;;0.0055
Seagrass;;Halodule;Halodule uninervis;;;Colonising;;;;;2.61;;;;;;;;0.0025
Seagrass;;Halodule;Halodule uninervis;;;Colonising;;;;;2.36;;;;;;;;
Seagrass;;Halodule;Halodule uninervis;;;Colonising;;;;;4;;;;;;;;0.0038
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;34.56945608;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;29.19934134;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;24.83573836;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;19.04070601;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;16.29648588;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;19.91266333;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;20.69520354;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;17.86034852;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;14.05402207;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;23.7263914;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;35.05087644;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;42.65988346;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;16.44721848;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;12.82304645;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;34.93316269;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;13.73152981;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;46.26118278;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;37.19890945;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;30.55856252;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;23.62831823;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;29.6632599;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;36.72407204;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;26.08451355;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;17.86260393;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;14.56563122;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;15.4285096;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;24.72367526;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;11.34520277;;;;;;;;
Seagrass;;Thalassodendron;Thalassodendron ciliatum;;;Persistent;;;;;15.44293882;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;36.82217159;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;27.45429165;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;35.93800347;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;18.65163156;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;11.36751762;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;16.78677756;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;23.04068459;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;30.98080371;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;31.46713213;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;36.73691183;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;59.55752857;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;47.63290913;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;18.83158702;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;24.71332835;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;23.63060458;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;19.20703889;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;9.764776465;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;16.20717136;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;12.62622567;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;30.71858045;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;14.37002348;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;16.32100958;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;37.80279154;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;10.51632393;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;11.04804912;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;13.23723239;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;15.48905453;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;12.23674707;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;11.68168406;;;;;;;;
Seagrass;;Syringodium;Syringodium isoetifolium;;;Opportunistic;;;;;9.754555904;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;4.57;;;;;;;;
Seagrass;;Mixed;Mixed;;;Colonising;;;;;6.96;;;;;;;;
Seagrass;;Mixed;Mixed;;;Colonising;;;;;4.57;;;;;;;;
Seagrass;;Mixed;Mixed;;;Colonising;;;;;7.62;;;;0.009;;;100;0.009
Seagrass;;Mixed;Mixed;;;Colonising;0.19;;;;11.2;;;;0.036;;;-;
Seagrass;;Mixed;Mixed;;;Colonising;0.06;;;;;;;;;;;;
Seagrass;;Mixed;Mixed;;;Colonising;0.1;;;;;;;;;;;;
Seagrass;;Mixed;Mixed;;;Colonising;0.07;;;;;;;;;;;;
Seagrass;;Mixed;Mixed;;;Colonising;0.075;;;;;;;;;;;;
Salt Marsh;Medium;Mixed;Mixed;;;;0.857;;;;11.787;;;;;;;;
Salt Marsh;Medium;Mixed;Mixed;;;;0.45;;;;5.764;;;;;;;;
Salt Marsh;Medium;Mixed;Mixed;;;;0.301;;;;6.544;;;;;;;;
Salt Marsh;Medium;Mixed;Mixed;;;;0.5;;;;5.809;;;;;;;;
Salt Marsh;Medium;Mixed;Mixed;;;;0.31;;;;16.783;;;;;;;;
Salt Marsh;Medium;Mixed;Mixed;;;;0.501;;;;9.639;;;;;;;;
Seagrass;;Enhalus;Enhalus acaroides;;;;;;;;1.7197;;;;;;;;
Seagrass;;Enhalus;Enhalus acaroides;;;;;;;;2.42765;;;;;;;;
Seagrass;;Enhalus;Enhalus acaroides;;;;;;;;2.74827;;;;;;;;
Seagrass;;Enhalus;Enhalus acaroides;;;;;;;;2.92512;;;;;;;;
Seagrass;;Enhalus;Enhalus acaroides;;;;;;;;2.30891;;;;;;;;
Seagrass;;Enhalus;Enhalus acaroides;;;;;;;;2.82014;;;;;;;;
Seagrass;;Halodule;Halodule wrightii;;;;0.016;;;;;;;;;;;;
Seagrass;;Syringodium;Syringodium filiforme;;;;0.039;;;;;;;;;;;;
Seagrass;;Mixed;Mixed;;;;0.2802;;;;;;;;;;;;
Seagrass;;Thalassia;Thalassia testudinum;;;;0.401;;;;;;;;;;;;
Salt Marsh;;Mixed;Mixed;;;;0.129;;;;9.9;;;;0.05;;;;
Salt Marsh;;Mixed;Mixed;;;;0.129;;;;9.9;;;;0.05;;;;
Salt Marsh;;Mixed;Mixed;;;;0.712;;;;16.9;;;;0.094;;;;
Salt Marsh;;Mixed;Mixed;;;;0.6;;;;19.3;;;;0.107;;;;
Seagrass;;Mixed;Mixed;;;;0.456;;;;4;;;;0.013;;;;
Seagrass;;Mixed;Mixed;;;;0.354;;;;9.9;;;;0.033;;;;
Seagrass;;Mixed;Mixed;;;;0.208;;;;12.5;;;;0.041;;;;
Seagrass;;Mixed;Mixed;;;;0.208;;;;14.2;;;;0.047;;;;
Seagrass;;Zostera;Zostera capensis;;;;0.159;;;;18.137;;;;;;;;
Salt Marsh;Low;Spartina;Spartina maritima;;;;0.175;;;;22.545;;;;;;;;
Salt Marsh;Low;Salicornia;Salicornia tegetaria;;;;0.457;;;;21.067;;;;;;;;
Salt Marsh;Microtidal;Phragmites;;;;;;;;;23.2;;;;;;;;
Salt Marsh;Microtidal;Phragmites;;;;;;;;;8.3;;;;;;;;
Salt Marsh;Microtidal;Phragmites;;;;;;;;;9.5;;;;;;;;
Salt Marsh;Microtidal;Phragmites;;;;;;;;;9.4;;;;;;;;
Salt Marsh;Microtidal;Phragmites;;;;;;;;;36.1;;;;;;;;
Salt Marsh;Microtidal;Phragmites;;;;;;;;;15.9;;;;;;;;
Salt Marsh;Low;Carex;Carex lyngbyei Hornem;;;;0.134;;;;;;;;0.000382;;;1877;
Seagrass;;Zostera;Zostera marina;;;;0.7144;;;;;;;;0.000752;;;1914;
Seagrass;;Zostera;Zostera marina;;;;0.138546;;;;5.374;;;;;;;;
Seagrass;;Zostera;Zostera japonica;;;;0.0222335;;;;5.807;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;;0.07675392;;;;12.483;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;;0.17141828;;;;9.324;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;;0.05609537;;;;4.91;;;;;;;;
Seagrass;;Zostera;Zostera caulescens;;;;0.13151502;;;;7.823;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;;0.1368224;;;;5.847;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;;0.1344952;;;;6.099;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;;0.1077565;;;;8.157;;;;;;;;
Salt Marsh;Low;Spartina;Spartina alterniflora;;;;;;;;3.52;;;;;;;;
Salt Marsh;Medium;Suaeda;Suaeda salsa;;;;;;;;2.1;;;;;;;;
Salt Marsh;High;Phragmites;Phragmites australis;;;;0.663;;;;4.449;;;;;;;;
Salt Marsh;High;Carex;;;;;0.017;;;;2.446;;;;;;;;
Salt Marsh;High;Mixed;;;;;0.201;;;;4.335;;;;;;;;
Salt Marsh;High;Phragmites;Phragmites australis;;;;;;;;14.6;;;;;;;;
Salt Marsh;High;Phragmites;Phragmites australis;;;;;;;;20.1;;;;;;;;
Salt Marsh;High;Phragmites;Phragmites australis;;;;;;;;21.2;;;;;;;;
Salt Marsh;High;Phragmites;Phragmites australis;;;;;;;;28.56;;;;;;;;
Salt Marsh;High;Phragmites;Phragmites australis;;;;;;;;35.02;;;;;;;;
Salt Marsh;High;Phragmites;Phragmites australis;;;;;;;;23.41;;;;;;;;
