"","Site.ID","Locality","Region","Coast","Ecosystem","Genus","Status","Tidal.R","Sampling.year","lat","long","Water.Depth","Mean_Stock","SD_Stock","Mean_Seq_rate","SD_Seq_rate","Mean_Biomass","SD_Biomass"
"38","Ros rio salt marshes10Ap","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Atriplex portulacoides","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.366242655909627,NA
"39","AL.S","Almerimar","Andalucia","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2017,36.685379,-2.803734,4.5,17.2935833104666,NA,NA,NA,2.95659590488186,0.732019995578472
"41","ALFA","Delta del Ebro","Catalunya","Mediterranean Sea","Salt Marsh","Salicornia","","Microtidal",2015,40.638078,0.743147,NA,NA,NA,NA,NA,1.22177319236614,0.582528287983163
"43","arcade","soutomaior","Galiza","Atlantic Ocean","Seagrass","Zostera noltii","Degraded","Intertidal",2015,42.33681,-8.61281,NA,NA,NA,NA,NA,0.0143384235659407,0.00271464392810442
"44","Arenal","Arenal de Son Saura","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2006,39.92575,3.893666667,NA,NA,NA,NA,NA,0.212837967153972,NA
"45","Arinaga","Arinaga","Canarias","Atlantic Insular","Seagrass","Cymodocea nodosa","Healthy","Subtidal",2018,27.851831,-15.395308,11,5.16469316238999,0.254460169270798,NA,NA,0.442132196297143,NA
"46","Av22_Sc","Aveiro","C Portugal","Atlantic Ocean","Salt Marsh","Sarcocornia","Healthy","Low",2022,40.606931,-8.738324,NA,350.410913725659,81.4272440621758,NA,NA,NA,NA
"47","Av22_Sp","Aveiro","C Portugal","Atlantic Ocean","Salt Marsh","Spartina maritima","Healthy","Low",2022,40.606931,-8.738324,NA,449.116939308503,NA,NA,NA,NA,NA
"48","Av22_Zn","Aveiro","C Portugal","Atlantic Ocean","Seagrass","Zostera noltii","Healthy","Intertidal",2022,40.606931,-8.738324,NA,537.938976704259,65.1219087973943,NA,NA,NA,NA
"49","Av22_Zn_I","Aveiro","C Portugal","Atlantic Ocean","Seagrass","Zostera noltii","Healthy","Intertidal",2022,40.62199,-8.682364,NA,476.839140296092,36.5670344484997,NA,NA,NA,NA
"50","Av22_Zn_M","Aveiro","C Portugal","Atlantic Ocean","Seagrass","Zostera noltii","Healthy","Intertidal",2022,40.606838,-8.73622,NA,9.48886144017318,2.67301134712528,NA,NA,NA,NA
"51","AZ","Bay of Santander","Cantabria","Cantabrian Sea","Seagrass","Mixed Seagrass","Healthy","Intertidal",2000,43.45277635,-3.76777407,NA,NA,NA,NA,NA,0.0549501777777778,0.0290626986569459
"52","AZ","Bay of Santander","Cantabria","Cantabrian Sea","Seagrass","Mixed Seagrass","Healthy","Intertidal",2001,43.45277635,-3.76777407,NA,NA,NA,NA,NA,0.0549501777777778,0.0290626986569459
"53","Azo","Bay of Santander","Cantabria","Cantabrian Sea","Seagrass","Zostera noltii","Healthy","Intertidal",2000,43.45268678,-3.76680565,NA,NA,NA,NA,NA,0.0270146640173715,0.0144512343720518
"54","Azo","Bay of Santander","Cantabria","Cantabrian Sea","Seagrass","Zostera noltii","Healthy","Intertidal",2001,43.45268678,-3.76680565,NA,NA,NA,NA,NA,0.0270146640173715,0.0144512343720518
"55","BA.S","Bajos de Alquian","Andalucia","Mediterranean Sea","Seagrass","Cymodocea nodosa","Healthy","Subtidal",2017,36.823183,-2.385667,6.8,2.35741341341099,0.483174897928006,0.00788073881663167,NA,0.707657142857143,0.530790695518469
"56","BA.SC","Bajos de Alquian","Andalucia","Mediterranean Sea","Seagrass","Cymodocea nodosa","Healthy","Subtidal",2017,36.823183,-2.385667,7.1,2.63271861162169,0.234717959600788,NA,NA,NA,NA
"57","Barra salt marshNAAp","Barra","C Portugal","Atlantic Ocean","Salt Marsh","Atriplex portulacoides","","Medium",NA,40.636488,-8.740388,NA,NA,NA,NA,NA,0.0337886817203849,0.0233333090535399
"58","Barra salt marshNAJm","Barra","C Portugal","Atlantic Ocean","Salt Marsh","Juncus maritimus","","Medium",NA,40.636488,-8.740388,NA,NA,NA,NA,NA,0.0258884258073,0.00362763132672144
"59","Barra salt marshNASm","Barra","C Portugal","Atlantic Ocean","Salt Marsh","Sporobolus maritimus","","Low",NA,40.636488,-8.740388,NA,NA,NA,NA,NA,0.158619375073035,0.0142605816054546
"60","Barra salt marshNASp","Barra","C Portugal","Atlantic Ocean","Salt Marsh","Salicornia perennis","","Low",NA,40.636488,-8.740388,NA,NA,NA,NA,NA,0.0414617640977563,0.00925485804858478
"61","bergondo","bergondo","Galiza","Atlantic Ocean","Seagrass","Zostera noltii","Dead","Intertidal",2015,43.33374,-8.22369,NA,NA,NA,NA,NA,0.150655309490518,0.0425604169414419
"62","Biniancolla","Biniancolla","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2009,39.8035,4.267333,NA,NA,NA,NA,NA,0.171313288030975,NA
"63","Blanes_agosto","Blanes","Catalunya","Mediterranean Sea","Seagrass","Cymodocea nodosa","Healthy","Subtidal",1998,41.672844,2.792704,NA,NA,NA,NA,NA,0.04464,NA
"64","Blanes_julio","Blanes","Catalunya","Mediterranean Sea","Seagrass","Cymodocea nodosa","Healthy","Subtidal",1998,41.672844,2.792704,NA,NA,NA,NA,NA,0.0508525714285714,NA
"65","Blanes_junio","Blanes","Catalunya","Mediterranean Sea","Seagrass","Cymodocea nodosa","Healthy","Subtidal",1998,41.672844,2.792704,NA,NA,NA,NA,NA,0.0352594285714286,NA
"66","Blanes_octubre","Blanes","Catalunya","Mediterranean Sea","Seagrass","Cymodocea nodosa","Healthy","Subtidal",1998,41.672844,2.792704,NA,NA,NA,NA,NA,0.0157988571428571,NA
"67","Blanes_septiembre","Blanes","Catalunya","Mediterranean Sea","Seagrass","Cymodocea nodosa","Healthy","Subtidal",1998,41.672844,2.792704,NA,NA,NA,NA,NA,0.0300342857142857,NA
"68","BS1A","Bay of Santander","Cantabria","Cantabrian Sea","Salt Marsh","Mixed Salt Marsh","Healthy","High",2019,43.432096,-3.758772,NA,17.5431539623274,1.7242342247213,0.0484594592412457,NA,NA,NA
"70","BS2A","Bay of Santander","Cantabria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","High",2019,43.452136,-3.748134,NA,9.77632058427502,2.96116076586792,0.0172600546355235,NA,NA,NA
"71","BS2B","Bay of Santander","Cantabria","Cantabrian Sea","Salt Marsh","Sarcocornia","Healthy","Low",2019,43.45194,-3.748752,NA,7.13438652631343,4.78692406598505,NA,NA,NA,NA
"72","BS2C","Bay of Santander","Cantabria","Cantabrian Sea","Seagrass","Zostera noltii","Healthy","Intertidal",2019,43.451968,-3.7538,NA,5.35354805394737,3.22801636154037,NA,NA,NA,NA
"74","BS3C","Bay of Santander","Cantabria","Cantabrian Sea","Seagrass","Zostera noltii","Healthy","Intertidal",2019,43.409782,-3.809467,NA,14.9742750945492,3.37594478885358,NA,NA,NA,NA
"77","BULL","BULL","Pa¡s Valenci…","Mediterranean Sea","Salt Marsh","Phragmites australis","","Microtidal",2016,38.903625,-0.064133,NA,NA,NA,NA,NA,1.1873154741,NA
"78","BZ","Bay of Santander","Cantabria","Cantabrian Sea","Seagrass","Zostera marina","Healthy","Intertidal",2000,43.4534311,-3.7699589,NA,NA,NA,NA,NA,0.0384562596829825,0.0215265221453529
"79","BZ","Bay of Santander","Cantabria","Cantabrian Sea","Seagrass","Zostera marina","Healthy","Intertidal",2001,43.4534311,-3.7699589,NA,NA,NA,NA,NA,0.0384562596829825,0.0215265221453529
"80","CA.S","Calaburras","Andalucia","Mediterranean Sea","Seagrass","Posidonia oceanica","Dead","Subtidal",2017,36.49065,-4.69355,0.5,14.093368387324,4.30114455867182,0.0276652471441586,NA,5.45997677960749,2.96539220609056
"81","CA.SC","Calaburras","Andalucia","Mediterranean Sea","Seagrass","Posidonia oceanica","Dead","Subtidal",2017,36.49045,-4.693683,0.5,15.1185325863987,5.2367008803445,0.0315926603259526,NA,NA,NA
"82","cabanas","cabanas","Galiza","Atlantic Ocean","Seagrass","Zostera noltii","Degraded","Intertidal",2015,43.41379,-8.16426,NA,NA,NA,NA,NA,0.0362297169580141,0.0111576996367181
"83","Cala Blanca","Cala Blanca","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2009,39.9625,3.828833,NA,NA,NA,NA,NA,0.156429115315976,0.011665724475109
"84","Cala Deia","Cala Dei ","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2008,39.762772,2.642469,NA,NA,NA,NA,NA,0.187353675310078,0.0374785745616311
"85","Cala DOr","Mallorca","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Intertidal",2012,39.36912,3.231176,7,15.2735514603967,NA,0.050826567558056,NA,0.0919038311828781,0.0286484505417949
"86","Cala DOr","Cala D'Or","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2008,39.3694,3.23145,NA,15.2735514603967,NA,0.050826567558056,NA,0.0919038311828781,0.0286484505417949
"87","Cala Dor_s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8376902669555,0.442362211608635,NA,NA,NA,NA
"88","Cala Es Grau","Cala Es Grau","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2009,39.935278,4.285278,NA,NA,NA,NA,NA,0.132629366163358,NA
"89","Cala Figuera","Cala Figuera (Portals Vells)","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2008,39.478075,2.526575,NA,NA,NA,NA,NA,0.0767889932194346,NA
"90","Cala Galdana","Cala Galdana","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2009,39.93601,3.954247,NA,NA,NA,NA,NA,0.153199686102582,0.0126145743332977
"91","Cala Gamba","Cala Gamba","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2008,39.5425,2.696217,NA,NA,NA,NA,NA,0.06467925528377,0.00216006210410419
"92","Cala Llentisca","Cala Llentisca","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2006,38.8662,1.256933333,NA,NA,NA,NA,NA,0.0877504091459578,NA
"93","Cala Llenya","Cala Llenya","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2009,39.027917,1.606567,NA,NA,NA,NA,NA,0.167819125998309,0.0298265450234734
"94","Cala Llonga","Cala Llonga","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2008,38.9515,1.524,NA,NA,NA,NA,NA,0.119107684456899,NA
"95","Cala Marmacen","Cala Marmac‚n","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2008,39.536333,2.376217,NA,NA,NA,NA,NA,0.0986311527971132,0.0485704004662249
"96","Cala Matzoc","Cala Matzoc","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2006,39.75833333,3.405,NA,NA,NA,NA,NA,0.104433790678042,0.0881888064450952
"97","Cala Millor","Cala Millor","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2008,39.600633,3.390167,NA,NA,NA,NA,NA,0.16916736096274,0.011494638399949
"98","Cala Mondrago","Cala Mondrag¢","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2008,39.35085,3.1932,NA,NA,NA,NA,NA,0.244181841304949,NA
"99","Cala Morell","Cala Morell","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2009,40.055029,3.870895,NA,NA,NA,NA,NA,0.180439841706006,NA
"100","Cala Murta","Cala Murta- Formentor","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2005,39.93916667,3.184,NA,NA,NA,NA,NA,0.0963012089503741,NA
"101","Cala n Porter","Cala'n Porter","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2009,39.866166,4.131468,NA,NA,NA,NA,NA,0.127206257745659,NA
"102","Cala Ratjada","Cala Ratjada","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2009,39.711283,3.472433,NA,NA,NA,NA,NA,0.0785738069156955,NA
"103","Cala Sahona","Cala Sahona-Pta Rosa","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2006,38.69166667,1.38,NA,NA,NA,NA,NA,0.152798710231807,NA
"104","Cala Tamida","Cala Tamida","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2006,38.94058333,1.23225,NA,NA,NA,NA,NA,0.150032380220997,NA
"105","Cala Tarida","Cala Tarida","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2009,38.940583,1.23225,NA,NA,NA,NA,NA,0.189102689103727,NA
"106","Cala Torreta","Cala Torreta","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2008,38.7909,1.41965,NA,NA,NA,NA,NA,0.221506340273829,NA
"107","Cala Tuent","Cala Tuent","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2009,39.840463,2.772332,NA,NA,NA,NA,NA,0.183632124209548,NA
"108","Cales Coves","Cales Coves","Illes Balears","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2006,39.86355556,4.143801932,NA,NA,NA,NA,NA,0.0910546556022637,NA
"109","CALP","CALP","Pa¡s Valenci…","Mediterranean Sea","Salt Marsh","Salicornia","","Microtidal",2016,38.643983,0.066239,NA,NA,NA,NA,NA,0.95500120125,0.00701964523897063
"110","Cam_Hp_Ab","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","Medium",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.356931401945823,NA
"111","Cam_Hp_Ag","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","Medium",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.484961143948129,NA
"112","Cam_Hp_D","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","Medium",1987,43.397363,-2.687256,NA,NA,NA,NA,NA,0.345292334491068,NA
"113","Cam_Hp_F","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","Medium",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.263818862307782,NA
"114","Cam_Hp_J","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","Medium",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.318134510429973,NA
"115","Cam_Hp_Ja","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","Medium",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.271578240610952,NA
"116","Cam_Hp_Jl","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","Medium",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.360811091097408,NA
"117","Cam_Hp_M","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","Medium",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.294856375520463,NA
"118","Cam_Hp_Ma","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","Medium",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.325893888733143,NA
"119","Cam_Hp_N","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","Medium",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.411247050068014,NA
"120","Cam_Hp_O","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","Medium",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.477201765644959,NA
"121","Cam_Hp_S","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Halimione","Healthy","Medium",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.376329847703748,NA
"122","Cam_Sa_Ab","Zumaia","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina alterniflora","Healthy","Medium",1988,43.288838,-2.244183,NA,NA,NA,NA,NA,0.0271578240610952,NA
"123","Cam_Sa_Ag","Zumaia","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina alterniflora","Healthy","Medium",1988,43.288838,-2.244183,NA,NA,NA,NA,NA,0.430645495825939,NA
"124","Cam_Sa_J","Zumaia","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina alterniflora","Healthy","Medium",1988,43.288838,-2.244183,NA,NA,NA,NA,NA,0.384089226006918,NA
"125","Cam_Sa_Jl","Zumaia","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina alterniflora","Healthy","Medium",1988,43.288838,-2.244183,NA,NA,NA,NA,NA,0.391848604310088,NA
"126","Cam_Sa_M","Zumaia","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina alterniflora","Healthy","Medium",1988,43.288838,-2.244183,NA,NA,NA,NA,NA,0.0155187566063401,NA
"127","Cam_Sa_Ma","Zumaia","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina alterniflora","Healthy","Medium",1988,43.288838,-2.244183,NA,NA,NA,NA,NA,0.0969922287896259,NA
"128","Cam_Sa_N","Zumaia","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina alterniflora","Healthy","Medium",1988,43.288838,-2.244183,NA,NA,NA,NA,NA,0.290976686368878,NA
"129","Cam_Sa_O","Zumaia","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina alterniflora","Healthy","Medium",1988,43.288838,-2.244183,NA,NA,NA,NA,NA,0.259939173156197,NA
"130","Cam_Sa_S","Zumaia","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina alterniflora","Healthy","Medium",1988,43.288838,-2.244183,NA,NA,NA,NA,NA,0.345292334491068,NA
"131","Cam_Sm_Ab","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina maritima","Healthy","Low",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.259152291454,NA
"132","Cam_Sm_Ag","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina maritima","Healthy","Low",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.255038763018222,NA
"133","Cam_Sm_D","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina maritima","Healthy","Low",1987,43.397363,-2.687256,NA,NA,NA,NA,NA,0.217194301409067,NA
"134","Cam_Sm_F","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina maritima","Healthy","Low",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.205676421788889,NA
"135","Cam_Sm_J","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina maritima","Healthy","Low",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.209789950224667,NA
"136","Cam_Sm_Ja","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina maritima","Healthy","Low",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.213903478660444,NA
"137","Cam_Sm_Jl","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina maritima","Healthy","Low",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.246811706146667,NA
"138","Cam_Sm_M","Mundaka","Euskal Herria","Cantabrian Sea","Salt Marsh","Spartina maritima","Healthy","Low",1988,43.397363,-2.687256,NA,NA,NA,NA,NA,0.226244063967778,NA
