Site ID;Sample ID;Ecosystem;Specie;;Above;Ab SD;Below;B SD;n;
a_ramallosa_ria_de_vigo;MYZ41;Seagrass;Zostera noltii;;0.0304125;;0.0257525;;;
a_ramallosa_ria_de_vigo;MYZ42;Seagrass;Zostera noltii;;0.07447;;0.064455;;;
a_ramallosa_ria_de_vigo;MYZ43;Seagrass;Zostera noltii;;0.0127125;;0.0248725;;;
a_ramallosa_ria_de_vigo;MYZ71;Seagrass;Zostera noltii;;0.0166725;;0.02353;;;
a_ramallosa_ria_de_vigo;MYZ72;Seagrass;Zostera noltii;;0.038305;;0.0344175;;;
a_ramallosa_ria_de_vigo;MYZ73;Seagrass;Zostera noltii;;0.0326025;;0.02497;;;
a_ramallosa_ria_de_vigo;JZ41;Seagrass;Zostera noltii;;0.0698375;;0.063075;;;
a_ramallosa_ria_de_vigo;JZ42;Seagrass;Zostera noltii;;0.0349775;;0.0427875;;;
a_ramallosa_ria_de_vigo;JZ43;Seagrass;Zostera noltii;;0.0294925;;0.0253975;;;
a_ramallosa_ria_de_vigo;JZ71;Seagrass;Zostera noltii;;0.0387325;;0.037655;;;
a_ramallosa_ria_de_vigo;JZ72;Seagrass;Zostera noltii;;0.031335;;0.03354;;;
a_ramallosa_ria_de_vigo;JZ73;Seagrass;Zostera noltii;;0.0362325;;0.02671;;;
a_ramallosa_ria_de_vigo;JLZ41;Seagrass;Zostera noltii;;0.097125;;0.044055;;;
a_ramallosa_ria_de_vigo;JLZ42;Seagrass;Zostera noltii;;0.1083875;;0.0575525;;;
a_ramallosa_ria_de_vigo;JLZ43;Seagrass;Zostera noltii;;0.0765075;;0.0737275;;;
a_ramallosa_ria_de_vigo;JLZ71;Seagrass;Zostera noltii;;0.04329;;0.049575;;;
a_ramallosa_ria_de_vigo;JLZ72;Seagrass;Zostera noltii;;0.039155;;0.036525;;;
a_ramallosa_ria_de_vigo;JLZ73;Seagrass;Zostera noltii;;0.0384;;0.03496;;;
a_ramallosa_ria_de_vigo;AGZ41;Seagrass;Zostera noltii;;0.0532425;;0.0603325;;;
a_ramallosa_ria_de_vigo;AGZ42;Seagrass;Zostera noltii;;0.05915;;0.06249;;;
a_ramallosa_ria_de_vigo;AGZ43;Seagrass;Zostera noltii;;0.0254025;;0.0320075;;;
a_ramallosa_ria_de_vigo;AGZ71;Seagrass;Zostera noltii;;0.02793;;0.0322375;;;
a_ramallosa_ria_de_vigo;AGZ72;Seagrass;Zostera noltii;;0.0225175;;0.029285;;;
a_ramallosa_ria_de_vigo;AGZ73;Seagrass;Zostera noltii;;0.0349775;;0.032625;;;
a_ramallosa_ria_de_vigo;SZ41;Seagrass;Zostera noltii;;0.0310525;;0.051755;;;
a_ramallosa_ria_de_vigo;SZ42;Seagrass;Zostera noltii;;0.051015;;0.05097;;;
a_ramallosa_ria_de_vigo;SZ43;Seagrass;Zostera noltii;;0.039665;;0.050195;;;
a_ramallosa_ria_de_vigo;SZ71;Seagrass;Zostera noltii;;0.01756;;0.029245;;;
a_ramallosa_ria_de_vigo;SZ72;Seagrass;Zostera noltii;;0.01752;;0.018885;;;
a_ramallosa_ria_de_vigo;SZ73;Seagrass;Zostera noltii;;0.01981;;0.0296725;;;
a_ramallosa_ria_de_vigo;OZ41;Seagrass;Zostera noltii;;0.04838;;0.0489275;;;
a_ramallosa_ria_de_vigo;OZ42;Seagrass;Zostera noltii;;0.026245;;0.0480075;;;
a_ramallosa_ria_de_vigo;OZ43;Seagrass;Zostera noltii;;0.0614475;;0.0786525;;;
a_ramallosa_ria_de_vigo;OZ71;Seagrass;Zostera noltii;;0.0185825;;0.03258;;;
a_ramallosa_ria_de_vigo;OZ72;Seagrass;Zostera noltii;;0.018315;;0.0231925;;;
a_ramallosa_ria_de_vigo;OZ73;Seagrass;Zostera noltii;;0.01989;;0.03362;;;
a_ramallosa_ria_de_vigo;NZ 41;Seagrass;Zostera noltii;;0.0771975;;0.10711;;;
a_ramallosa_ria_de_vigo;NZ 42;Seagrass;Zostera noltii;;0.103545;;0.11298;;;
a_ramallosa_ria_de_vigo;NZ 43;Seagrass;Zostera noltii;;0.0564125;;0.0740725;;;
a_ramallosa_ria_de_vigo;NZ 71;Seagrass;Zostera noltii;;0.02881;;0.0934175;;;
a_ramallosa_ria_de_vigo;NZ 72;Seagrass;Zostera noltii;;0.0201725;;0.055805;;;
a_ramallosa_ria_de_vigo;NZ 73;Seagrass;Zostera noltii;;0.018365;;0.03257;;;
a_ramallosa_ria_de_vigo;DZ 41;Seagrass;Zostera noltii;;0.0460725;;0.061435;;;
a_ramallosa_ria_de_vigo;DZ 42;Seagrass;Zostera noltii;;0.03166;;0.06381;;;
a_ramallosa_ria_de_vigo;DZ 43;Seagrass;Zostera noltii;;0.0468925;;0.04929;;;
a_ramallosa_ria_de_vigo;DZ 71;Seagrass;Zostera noltii;;0.0138275;;0.0132025;;;
a_ramallosa_ria_de_vigo;DZ 72;Seagrass;Zostera noltii;;0.01561;;0.0204375;;;
a_ramallosa_ria_de_vigo;DZ 73;Seagrass;Zostera noltii;;0.012;;0.0167425;;;
a_ramallosa_ria_de_vigo;ENZ41;Seagrass;Zostera noltii;;0.0336975;;0.0291675;;;
a_ramallosa_ria_de_vigo;ENZ42;Seagrass;Zostera noltii;;0.0282925;;0.0439125;;;
a_ramallosa_ria_de_vigo;ENZ43;Seagrass;Zostera noltii;;0.01617;;0.029995;;;
a_ramallosa_ria_de_vigo;ENZ71;Seagrass;Zostera noltii;;0.0124075;;0.01428;;;
a_ramallosa_ria_de_vigo;ENZ72;Seagrass;Zostera noltii;;0.0107875;;0.0343525;;;
a_ramallosa_ria_de_vigo;ENZ73;Seagrass;Zostera noltii;;0.00685;;0.019995;;;
neda;NEZ 11;Seagrass;Zostera noltii;;0.0591575;;0.1409125;;;
neda;NEZ 12;Seagrass;Zostera noltii;;0.0430725;;0.10771;;;
neda;NEZ 13;Seagrass;Zostera noltii;;0.0456375;;0.19195;;;
neda;NEZ 21;Seagrass;Zostera noltii;;0.115535;;0.223575;;;
neda;NEZ 22;Seagrass;Zostera noltii;;0.0548625;;0.132685;;;
neda;NEZ 23;Seagrass;Zostera noltii;;0.0858025;;0.1709925;;;
cabanas;CAZ 11;Seagrass;Zostera noltii;;0.1187325;;0.1233475;;;
cabanas;CAZ 12;Seagrass;Zostera noltii;;0.0664875;;0.18634;;;
cabanas;CAZ 13;Seagrass;Zostera noltii;;0.1171875;;0.3205675;;;
cabanas;CAZ 21;Seagrass;Zostera noltii;;0.0545275;;0.1124;;;
cabanas;CAZ 22;Seagrass;Zostera noltii;;0.076555;;0.1383875;;;
cabanas;CAZ 23;Seagrass;Zostera noltii;;0.107135;;0.1762225;;;
bergondo;BZ 11;Seagrass;Zostera noltii;;0.2399;;0.0059975;;;
bergondo;BZ 12;Seagrass;Zostera noltii;;0.3516;;0.00879;;;
bergondo;BZ 13;Seagrass;Zostera noltii;;0.3212;;0.00803;;;
bergondo;BZ 21;Seagrass;Zostera noltii;;0.3678;;0.009195;;;
bergondo;BZ 22;Seagrass;Zostera noltii;;0.411;;0.010275;;;
bergondo;BZ 23;Seagrass;Zostera noltii;;0.5566;;0.013915;;;
camari¤as;C¥Z 11;Seagrass;Zostera noltii;;0.0792575;;0.1008425;;;
camari¤as;C¥Z 12;Seagrass;Zostera noltii;;0.0874175;;0.118045;;;
camari¤as;C¥Z 13;Seagrass;Zostera noltii;;0.0863475;;0.080335;;;
camari¤as;C¥Z 21;Seagrass;Zostera noltii;;0.068825;;0.0599475;;;
camari¤as;C¥Z 22;Seagrass;Zostera noltii;;0.0688875;;0.05644;;;
camari¤as;C¥Z 23;Seagrass;Zostera noltii;;0.0637975;;0.05995;;;
rianxo;RXZ 11;Seagrass;Zostera noltii;;0.04308;;0.0053825;;;
rianxo;RXZ 12;Seagrass;Zostera noltii;;0.0447975;;0.01298;;;
rianxo;RXZ 13;Seagrass;Zostera noltii;;0.0490675;;0.0291;;;
rianxo;RXZ 21;Seagrass;Zostera noltii;;0.0826425;;0.0719725;;;
rianxo;RXZ 22;Seagrass;Zostera noltii;;0.089835;;0.0986875;;;
rianxo;RXZ 23;Seagrass;Zostera noltii;;0.0903575;;0.056355;;;
o_grove;GZ11;Seagrass;Zostera noltii;;0.0410125;;0.17985;;;
o_grove;GZ12;Seagrass;Zostera noltii;;0.0521675;;0.1822875;;;
o_grove;GZ13;Seagrass;Zostera noltii;;0.0640875;;0.209895;;;
o_grove;GZ21;Seagrass;Zostera noltii;;0.068535;;0.1456675;;;
o_grove;GZ22;Seagrass;Zostera noltii;;0.06466;;0.173875;;;
o_grove;GZ23;Seagrass;Zostera noltii;;0.0588475;;0.0761025;;;
rio_maior;RIOZ 11;Seagrass;Zostera noltii;;0.0141675;;0.02433;;;
rio_maior;RIOZ 12;Seagrass;Zostera noltii;;0.0214975;;0.04872;;;
rio_maior;RIOZ 13;Seagrass;Zostera noltii;;0.01993;;0.0385125;;;
rio_maior;RIOZ 21;Seagrass;Zostera noltii;;0.023945;;0.0304675;;;
rio_maior;RIOZ 22;Seagrass;Zostera noltii;;0.0280725;;0.039985;;;
rio_maior;RIOZ 23;Seagrass;Zostera noltii;;0.019255;;;;;
arcade;ARZ 11;Seagrass;Zostera noltii;;0.027965;;0.0703025;;;
arcade;ARZ 12;Seagrass;Zostera noltii;;0.0414675;;0.05405;;;
arcade;ARZ 13;Seagrass;Zostera noltii;;0.0450875;;0.0759175;;;
arcade;ARZ 21;Seagrass;Zostera noltii;;0.037355;;0.0916275;;;
arcade;ARZ 22;Seagrass;Zostera noltii;;0.0315775;;0.0583575;;;
arcade;ARZ 23;Seagrass;Zostera noltii;;0.0305075;;0.049095;;;
TC-1;TC-1;Seagrass;Zostera marina;;0.1098;0.0254;3;0.132;0.0067;3
TC-2;TC-2;Seagrass;Zostera marina;;0.1696;0.0098;3;0.2571;0.01254;3
TC-3;TC-3;Seagrass;Zostera marina;;0.2588;0.0263;3;0.31341;0.02217;3
TC-4;TC-4;Seagrass;Zostera marina;;0.4143;0.0686;3;0.4057;0.00997;3
TB-1;TB-1;Seagrass;Zostera marina;;0.0252;0.0032;3;0.0729;0.00638;3
TB-2;TB-2;Seagrass;Zostera marina;;0.235;0.0275;3;0.1422;0.0091;3
TB-3;TB-3;Seagrass;Zostera marina;;0.4097;0.0471;3;0.1957;0.0161;3
TB-4;TB-4;Seagrass;Zostera marina;;0.46491;0.0409;3;0.2633;0.01195;3
CC;CC;Seagrass;Zostera marina;;0.1514;0.0105;5;0.189;0.0099;5
TC;TC;Seagrass;Zostera marina;;0.1071;0.0079;5;0.1625;0.0081;5
LP;LP;Seagrass;Zostera marina;;0.1371;0.0091;5;0.1149;0.0059;5
MP;MP;Seagrass;Zostera marina;;0.1137;0.0104;5;0.0906;0.0076;5
SP;SP;Seagrass;Zostera marina;;0.0798;0.0072;5;0.0561;0.0031;5
RF-001;RF-001;Seagrass;Cymodocea nodosa;;0.068;;;0.282;;
RF-002;Ramalhete;Seagrass;Zostera noltii;;0.12;;;0.15;;
RF-003;Ria Formosa;Seagrass;Zostera marina;;0.13;;;0.055;;
RF-004;RF-004_01;Seagrass;Zostera noltii;;0.623791103;;;;;
RF-004;RF-004_02;Seagrass;Zostera noltii;;0.678916828;;;;;
RF-004;RF-004_03;Seagrass;Zostera noltii;;1.006769826;;;;;
RF-004;RF-004_04;Seagrass;Zostera noltii;;0.751450677;;;;;
RF-004;RF-004_05;Seagrass;Zostera noltii;;0.890715667;;;;;
